550,19790,19790
551,18950,38740
552,19420,58160
553,18350,76510
554,18870,95380
555,18290,113670
556,17450,131120
557,17270,148390
558,17230,165620
559,17380,183000
560,17400,200400
561,17690,218090
562,16570,234660
563,17600,252260
564,17950,270210
565,17160,287370
566,18080,305450
567,19280,324730
568,19320,344050
569,20470,364520
570,23310,387830
571,25970,413800
572,27950,441750
573,31900,473650
574,34320,507970
575,38580,546550
576,43970,590520
577,50300,640820
578,59970,700790
579,67910,768700
580,78150,846850
581,89800,936650
582,103570,1040220
583,117490,1157710
584,131560,1289270
585,149920,1439190
586,169460,1608650
587,184850,1793500
588,207320,2000820
589,228550,2229370
590,248870,2478240
591,271960,2750200
592,292770,3042970
593,309840,3352810
594,330250,3683060
595,349380,4032440
596,366100,4398540
597,380270,4778810
598,394020,5172830
599,406250,5579080
600,412880,5991960
601,420510,6412470
602,427040,6839510
603,428390,7267900
604,431690,7699590
605,429490,8129080
606,427620,8556700
607,425070,8981770
608,416710,9398480
609,408510,9806990
610,405150,10212140
611,389760,10601900
612,384270,10986170
613,372590,11358760
614,364180,11722940
615,351140,12074080
616,339800,12413880
617,323120,12737000
618,313340,13050340
619,297290,13347630
620,286350,13633980
621,272550,13906530
622,261700,14168230
623,252670,14420900
624,242520,14663420
625,226760,14890180
626,216370,15106550
627,204850,15311400
628,197660,15509060
629,189520,15698580
630,177680,15876260
631,172740,16049000
632,165770,16214770
633,159110,16373880
634,149040,16522920
635,143280,16666200
636,138850,16805050
637,132010,16937060
638,127530,17064590
639,124200,17188790
640,120680,17309470
641,114710,17424180
642,112900,17537080
643,110070,17647150
644,103600,17750750
645,100780,17851530
646,97840,17949370
647,94900,18044270
648,92230,18136500
649,91600,18228100
650,90440,18318540
651,89750,18408290
652,87580,18495870
653,87820,18583690
654,87830,18671520
655,87690,18759210
656,85270,18844480
657,85640,18930120
658,84670,19014790
659,84170,19098960
660,80980,19179940
661,81220,19261160
662,80380,19341540
663,79410,19420950
664,79270,19500220
665,75920,19576140
666,74710,19650850
667,73810,19724660
668,71700,19796360
669,69070,19865430
670,67330,19932760
671,64580,19997340
672,62840,20060180
673,61400,20121580
674,59120,20180700
675,58520,20239220
676,53980,20293200
677,53320,20346520
678,51580,20398100
679,49510,20447610
680,47470,20495080
681,45380,20540460
682,42900,20583360
683,40850,20624210
684,39460,20663670
685,38310,20701980
686,36350,20738330
687,35180,20773510
688,33270,20806780
689,30720,20837500
690,29060,20866560
691,29180,20895740
692,27970,20923710
693,26670,20950380
694,25240,20975620
695,23450,20999070
696,21790,21020860
697,22180,21043040
698,20640,21063680
699,19610,21083290
700,19220,21102510
701,17510,21120020
702,17010,21137030
703,16070,21153100
704,15450,21168550
705,13900,21182450
706,14780,21197230
707,14450,21211680
708,13100,21224780
709,12840,21237620
710,12510,21250130
711,12130,21262260
712,11790,21274050
713,10840,21284890
714,10240,21295130
715,10220,21305350
716,9630,21314980
717,9710,21324690
718,9800,21334490
719,8650,21343140
720,8640,21351780
721,7730,21359510
722,7640,21367150
723,7790,21374940
724,7320,21382260
725,7100,21389360
726,6980,21396340
727,6540,21402880
728,6600,21409480
729,6290,21415770
730,6130,21421900
731,5810,21427710
732,5910,21433620
733,5130,21438750
734,5200,21443950
735,4860,21448810
736,5220,21454030
737,5060,21459090
738,4740,21463830
739,4790,21468620
740,4080,21472700
741,4510,21477210
742,4160,21481370
743,3780,21485150
744,3730,21488880
745,3630,21492510
746,3710,21496220
747,3360,21499580
748,3480,21503060
749,3100,21506160
750,3070,21509230
751,3010,21512240
752,2670,21514910
753,2920,21517830
754,2530,21520360
755,2390,21522750
756,2640,21525390
757,2340,21527730
758,2520,21530250
759,2310,21532560
760,1950,21534510
761,1880,21536390
762,1720,21538110
763,2110,21540220
764,1820,21542040
765,1960,21544000
766,1770,21545770
767,1910,21547680
768,1710,21549390
769,1460,21550850
770,1600,21552450
771,1690,21554140
772,1510,21555650
773,1830,21557480
774,1360,21558840
775,1330,21560170
776,1370,21561540
777,1280,21562820
778,1320,21564140
779,1210,21565350
780,1210,21566560
781,1200,21567760
782,1300,21569060
783,1240,21570300
784,1080,21571380
785,1120,21572500
786,1080,21573580
787,980,21574560
788,1230,21575790
789,1050,21576840
790,690,21577530
791,890,21578420
792,990,21579410
793,850,21580260
794,880,21581140
795,980,21582120
796,840,21582960
797,1040,21584000
798,1110,21585110
799,810,21585920
800,800,21586720
801,920,21587640
802,1020,21588660
803,800,21589460
804,770,21590230
805,950,21591180
806,900,21592080
807,870,21592950
808,800,21593750
809,920,21594670
810,810,21595480
811,650,21596130
812,810,21596940
813,770,21597710
814,940,21598650
815,780,21599430
816,810,21600240
817,800,21601040
818,700,21601740
819,870,21602610
820,810,21603420
821,590,21604010
822,820,21604830
823,620,21605450
824,780,21606230
825,560,21606790
826,660,21607450
827,570,21608020
828,800,21608820
829,730,21609550
830,710,21610260
831,710,21610970
832,720,21611690
833,750,21612440
834,520,21612960
835,660,21613620
836,760,21614380
837,680,21615060
838,600,21615660
839,600,21616260
840,750,21617010
841,720,21617730
842,590,21618320
843,690,21619010
844,640,21619650
845,610,21620260
846,650,21620910
847,610,21621520
848,560,21622080
849,600,21622680
850,800,21623480
851,810,21624290
852,710,21625000
853,560,21625560
854,670,21626230
855,680,21626910
856,630,21627540
857,500,21628040
858,670,21628710
859,600,21629310
860,700,21630010
861,540,21630550
862,630,21631180
863,710,21631890
864,640,21632530
865,750,21633280
866,580,21633860
867,610,21634470
868,560,21635030
869,660,21635690
870,660,21636350
871,500,21636850
872,560,21637410
873,540,21637950
874,540,21638490
875,710,21639200
876,610,21639810
877,730,21640540
878,590,21641130
879,440,21641570
880,580,21642150
881,580,21642730
882,690,21643420
883,630,21644050
884,570,21644620
885,770,21645390
886,680,21646070
887,740,21646810
888,520,21647330
889,600,21647930
890,640,21648570
891,690,21649260
892,500,21649760
893,740,21650500
894,670,21651170
895,570,21651740
896,750,21652490
897,600,21653090
898,600,21653690
899,570,21654260
900,590,21654850
901,680,21655530
902,600,21656130
903,640,21656770
904,670,21657440
905,720,21658160
906,660,21658820
907,630,21659450
908,670,21660120
909,600,21660720
910,590,21661310
911,730,21662040
912,670,21662710
913,650,21663360
914,650,21664010
915,750,21664760
916,670,21665430
917,680,21666110
918,670,21666780
919,590,21667370
920,580,21667950
921,650,21668600
922,570,21669170
923,670,21669840
924,590,21670430
925,520,21670950
926,670,21671620
927,700,21672320
928,640,21672960
929,520,21673480
930,520,21674000
931,560,21674560
932,550,21675110
933,600,21675710
934,640,21676350
935,570,21676920
936,530,21677450
937,580,21678030
938,460,21678490
939,620,21679110
940,660,21679770
941,720,21680490
942,550,21681040
943,490,21681530
944,740,21682270
945,740,21683010
946,720,21683730
947,550,21684280
948,750,21685030
949,710,21685740
950,570,21686310
951,650,21686960
952,570,21687530
953,590,21688120
954,640,21688760
955,560,21689320
956,530,21689850
957,630,21690480
958,570,21691050
959,610,21691660
960,710,21692370
961,610,21692980
962,460,21693440
963,600,21694040
964,670,21694710
965,830,21695540
966,560,21696100
967,660,21696760
968,490,21697250
969,670,21697920
970,610,21698530
971,620,21699150
972,530,21699680
973,650,21700330
974,610,21700940
975,580,21701520
976,580,21702100
977,610,21702710
978,630,21703340
979,550,21703890
980,650,21704540
981,580,21705120
982,540,21705660
983,650,21706310
984,660,21706970
985,790,21707760
986,600,21708360
987,670,21709030
988,600,21709630
989,790,21710420
990,570,21710990
991,710,21711700
992,550,21712250
993,530,21712780
994,580,21713360
995,500,21713860
996,780,21714640
997,640,21715280
998,650,21715930
999,570,21716500
1000,650,21717150
1001,800,21717950
1002,540,21718490
1003,660,21719150
1004,490,21719640
1005,630,21720270
1006,670,21720940
1007,480,21721420
1008,640,21722060
1009,600,21722660
1010,640,21723300
1011,510,21723810
1012,700,21724510
1013,560,21725070
1014,690,21725760
1015,710,21726470
1016,620,21727090
1017,540,21727630
1018,570,21728200
1019,560,21728760
1020,610,21729370
1021,560,21729930
1022,580,21730510
1023,650,21731160
1024,760,21731920
1025,760,21732680
1026,660,21733340
1027,710,21734050
1028,490,21734540
1029,650,21735190
1030,680,21735870
1031,490,21736360
1032,570,21736930
1033,630,21737560
1034,710,21738270
1035,650,21738920
1036,560,21739480
1037,570,21740050
1038,670,21740720
1039,660,21741380
1040,640,21742020
1041,700,21742720
1042,610,21743330
1043,840,21744170
1044,690,21744860
1045,690,21745550
1046,590,21746140
1047,660,21746800
1048,640,21747440
1049,660,21748100
1050,600,21748700
1051,830,21749530
1052,680,21750210
1053,670,21750880
1054,620,21751500
1055,670,21752170
1056,550,21752720
1057,720,21753440
1058,710,21754150
1059,570,21754720
1060,610,21755330
1061,790,21756120
1062,530,21756650
1063,630,21757280
1064,460,21757740
1065,610,21758350
1066,600,21758950
1067,500,21759450
1068,660,21760110
1069,600,21760710
1070,610,21761320
1071,710,21762030
1072,870,21762900
1073,620,21763520
1074,640,21764160
1075,580,21764740
1076,570,21765310
1077,690,21766000
1078,730,21766730
1079,650,21767380
1080,610,21767990
1081,600,21768590
1082,590,21769180
1083,650,21769830
1084,780,21770610
1085,640,21771250
1086,570,21771820
1087,730,21772550
1088,570,21773120
1089,530,21773650
1090,600,21774250
1091,580,21774830
1092,790,21775620
1093,710,21776330
1094,630,21776960
1095,610,21777570
1096,600,21778170
1097,590,21778760
1098,570,21779330
1099,550,21779880
1100,600,21780480
